iter	Passed	Remaining
0	0	98
1	1	94
2	3	99
3	4	101
4	5	105
5	6	107
6	8	106
7	9	105
8	10	103
9	11	103
10	12	103
11	14	103
12	15	102
13	16	101
14	18	102
15	19	101
16	20	100
17	21	99
18	23	98
19	24	96
20	25	94
21	26	92
22	27	90
23	28	88
24	29	87
25	30	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	78
31	36	77
32	37	76
33	39	75
34	40	74
35	41	73
36	42	72
37	44	72
38	46	71
39	47	70
40	48	70
41	49	68
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	61
48	57	60
49	59	59
50	60	58
51	61	57
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	71	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	81	34
70	82	33
71	82	32
72	83	31
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	90	22
80	91	21
81	92	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
